id,city,TenGram22K,TenGram24K
319,Kadapa,65620,70410
320,Kavaratti,65600,70350
321,Kasganj,65590,70310
322,Khandwa,65910,70390
323,Khambhalia,65540,70280
324,Koloriang,65590,70350
325,Latur,65700,70360
326,Karur,65680,70240
327,Kawardha,65850,70310
328,Koraput,65570,70340
329,Kurukshetra,65460,70370
330,Lakhimpur,65580,70300
331,Kupwara,65610,70310
332,Karnal,65460,70400
333,Katihar,65580,70430
334,Khagaria,65580,70390
335,Kishtwar,65650,70290
336,Kokrajhar,65750,70280
337,Kottayam,65640,70360
338,Krishnanagar,65590,70330
339,Lalitpur,65560,70260
340,Keylong,65790,70330
341,Kondagaon,65840,70290
342,Kozhikode,65650,70380
343,Karwar,65560,70290
344,Kendujhar,65580,70330
345,Khowai,65520,70320
346,Koppal,65560,70280
347,Kurnool,65620,70380
348,Likabali,65560,70310
349,Longding,65600,70330
350,Lohardaga,65820,70420
351,Khargone,65910,70380
352,Khliehriat,65700,70300
353,Khunti,65840,70430
354,Kiphire,65640,70370
355,Koderma,65850,70440
356,Kolhapur,65660,70350
357,Kolkata,65550,70330
358,Kulgam,65620,70290
359,Lakhisarai,65560,70390
360,Kasaragod,65630,70340
361,Kolasib,65710,70320
362,Katni,65910,70350
363,Kendrapara,65600,70330
364,Khonsa,65560,70300
365,Korba,65810,70290
366,Kota,65460,70380
367,Karauli,65470,70420
368,Kishanganj,65560,70380
369,Kohima,65600,70330
370,Latehar,65830,70440
371,Kollam,65650,70350
372,Kullu,65770,70350
373,Kapurthala,65540,70370
374,Kolar,65560,70280
375,Karimganj,65720,70260
376,Khalilabad,65600,70280
377,Krishnagiri-hosur,65660,70290
378,Lawngtlai,65720,70330
379,Lemmi,65600,70340
380,Karaikal,65700,70270
381,Karwi,65600,70270
382,Kathua,65650,70280
383,Longleng,65630,70320
384,Lucknow,65550,70290
385,Mon,65640,70350
386,Mamit,65720,70310
387,Lunglei,65750,70330
388,Ludhiana,65550,70320
389,Madikeri,65600,70250
390,Mahe,65660,70270
391,Mau,65600,70310
392,Mawkyrwat,65670,70350
393,Madhubani,65600,70380
394,Mahasamund,65810,70270
395,Nagapattinam,65700,70260
396,Naila-janjgir,65830,70290
397,Marigaon,65730,70280
398,Mehsana,65550,70290
399,Mirzapur,65570,70270
400,Mungeli,65810,70300
401,Nagda,65930,70380
402,Mangan,65410,70410
403,Munger,65560,70410
404,Machilipatnam,65630,70370
405,Madhepura,65600,70420
406,Mushalpur,65730,70280
407,Mohali,65540,70330
408,Nagercoil,65690,70260
409,Mahoba,65560,70290
410,Maihar,65910,70360
411,Malappuram,65650,70330
412,Muzaffarnagar,65600,70310
413,Nadiad,65530,70320
414,Mandya,65570,70240
415,Lunavada,65550,70290
416,Mangaldoi,65720,70260
417,Mangaluru,65600,70250
418,Moradabad,65600,70300
419,Morena,65920,70370
420,Mumbai,65650,70310
421,Nabarangpur,65560,70320
422,Madurai,65660,70280
423,Manjhanpur,65590,70260
424,Mainpuri,65560,70270
425,Margao,65680,70240
426,Meerut,65590,70260
427,Modasa,65520,70320
428,Mokokchung,65620,70370
429,Nagaur,65480,70370
430,Mandla,65950,70390
431,Mandsaur,65950,70350
432,Mayiladuthurai,65700,70290
433,Midnapore,65600,70370
434,Moga,65530,70370
435,Morbi,65530,70330
436,Nahan,65770,70340
437,Mathura,65570,70260
438,Motihari,65570,70420
439,Maharajganj,65560,70260
440,Muzaffarpur,65570,70430
441,Nagpur,65670,70310
442,Malkangiri,65600,70350
443,Mysuru,65560,70290
444,Mandi,65790,70380
445,Mansa,65520,70360
446,Mayabunder,65670,70260
447,Nagaon,65740,70280
448,Niwari,65940,70350
449,Orai,65570,70290
450,Pratapgarh,65500,70420
451,Raiganj,65560,70350
452,Roing,65560,70340
453,Salem,65660,70250
454,Satara,65680,70350
455,Sikar,65470,70370
456,Tumakuru,65580,70240
457,Yingkiong,65560,70340
458,Nainital,65610,70420
459,Navsari,65530,70330
460,Neemuch,65920,70360
461,Nongstoin,65680,70350
462,Rajkot,65540,70310
463,Rajpipla,65530,70280
464,Sangrur,65550,70340
465,Shahdol,65910,70360
466,Sheohar,65600,70410
467,Solan,65800,70370
468,Srinagar,65600,70320
469,Sultanpur,65600,70260
470,Tamenglong,65880,70270
471,Ujjain,65950,70350
472,Narnaul,65480,70400
473,Nawada,65560,70390
474,Patna,65550,70380
475,Perambalur,65690,70290
476,Port-blair,65650,70200
477,Raga,65600,70310
478,Ramgarh,65820,70410
479,Sahebganj,65840,70410
480,Sambalpur,65580,70320
481,Sangli,65670,70320
482,Shillong,65650,70320
483,Silchar,65750,70290
